GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pharmacy-admin,com.pharmacy.admin.factory,EmailNotification,0,21,0,0,0,7,0,3,0,3
pharmacy-admin,com.pharmacy.admin.factory,NotificationFactory,0,25,0,6,0,5,0,4,0,1
pharmacy-admin,com.pharmacy.admin.factory,SmsNotification,8,13,0,0,2,5,1,2,1,2
pharmacy-admin,com.pharmacy.admin.observer,AdminActionEvent,0,34,0,0,0,12,0,6,0,6
pharmacy-admin,com.pharmacy.admin.observer,AuditLogListener,0,81,0,0,0,18,0,3,0,3
pharmacy-admin,com.pharmacy.admin.dto,PharmacyStatusUpdateDTO,0,16,0,0,0,6,0,4,0,4
pharmacy-admin,com.pharmacy.admin.dto,PharmacySummaryDTO,0,21,0,0,0,1,0,1,0,1
pharmacy-admin,com.pharmacy.admin.dto,UserSummaryDTO,0,15,0,0,0,1,0,1,0,1
pharmacy-admin,com.pharmacy.admin.dto,DashboardStatsDTO,0,21,0,0,0,1,0,1,0,1
pharmacy-admin,com.pharmacy.shared.security,JwtAuthenticationFilter,16,97,4,6,5,25,4,4,0,3
pharmacy-admin,com.pharmacy.shared.security,AdminPrincipal,6,22,0,0,2,7,2,3,2,3
pharmacy-admin,com.pharmacy.shared.security,JwtUtil,8,83,0,0,3,23,0,8,0,8
pharmacy-admin,com.pharmacy.admin.exception,GlobalExceptionHandler,8,96,0,0,1,16,1,6,1,6
pharmacy-admin,com.pharmacy.admin.service,LoggingAdminPharmacyService,0,81,0,0,0,16,0,5,0,5
pharmacy-admin,com.pharmacy.admin.service,AdminPharmacyService,8,104,2,4,0,28,3,7,1,6
pharmacy-admin,com.pharmacy.admin.service,AdminUserService,0,45,0,0,0,13,0,5,0,5
pharmacy-admin,com.pharmacy.admin.service,AdminDashboardService,0,63,0,2,0,16,0,3,0,2
pharmacy-admin,com.pharmacy.admin.controller,AdminPharmacyController,0,35,0,2,0,8,0,5,0,4
pharmacy-admin,com.pharmacy.admin.controller,AdminDashboardController,0,11,0,0,0,4,0,2,0,2
pharmacy-admin,com.pharmacy.admin.controller,AuthController.LoginRequest,0,9,0,0,0,1,0,1,0,1
pharmacy-admin,com.pharmacy.admin.controller,AuthController,0,48,1,3,0,11,1,3,0,2
pharmacy-admin,com.pharmacy.admin.controller,AdminUserController,0,18,0,0,0,5,0,3,0,3
pharmacy-admin,com.pharmacy.admin.entity,AuditLog,14,38,0,0,4,11,4,11,4,11
pharmacy-admin,com.pharmacy.admin.entity,AdminUser,21,9,0,0,6,4,6,2,6,2
pharmacy-admin,com.pharmacy.shared.entity,Pharmacy,15,47,0,0,4,14,4,13,4,13
pharmacy-admin,com.pharmacy.shared.entity,Prescription,35,6,0,0,10,2,10,1,10,1
pharmacy-admin,com.pharmacy.shared.entity,User,12,38,0,0,5,11,1,11,1,11
pharmacy-admin,com.pharmacy.shared.entity,Order,42,6,0,0,12,2,12,1,12,1
pharmacy-admin,com.pharmacy,PharmacyApplication,5,3,0,0,2,1,1,1,1,1
pharmacy-admin,com.pharmacy.admin.config,OpenApiConfig,0,32,0,0,0,11,0,2,0,2
pharmacy-admin,com.pharmacy.admin.security,AdminSecurityConfig,0,69,0,0,0,15,0,5,0,5
